GeoID,Year,D_Etab,D_Emp,D_Pay,G_Etab,G_Emp,G_Pay,Pop_2010,FD_num_2010,FD_pct_2010
26161,2010,19,170,2628,55,2479,57897,344791,88437,25.65
26163,2010,240,1491,23750,451,8496,179826,1820584,274017,15.05
26165,2010,7,40,644,8,139,2900,32735,3182,9.72
27003,2010,16,264,5551,37,1669,41977,330844,127023,38.39
27007,2010,6,106,2138,7,359,5983,44442,8067,18.15
27041,2010,7,187,3375,6,285,4521,36009,13332,37.02
27045,2010,5,27,528,6,173,2088,20866,538,2.58
27049,2010,6,35,475,10,284,4432,46183,11090,24.01
27053,2010,70,664,12016,211,8646,215171,1152425,341806,29.66
27057,2010,4,58,1161,4,211,3492,20428,4389,21.49
27085,2010,10,56,944,5,407,6916,36651,7365,20.09
27091,2010,4,58,877,5,235,3550,20840,8987,43.12
27111,2010,12,260,4747,11,494,7207,57303,9953,17.37
27115,2010,6,54,883,5,175,2589,29750,4768,16.03
27119,2010,6,45,687,7,313,5039,31600,8692,27.51
27123,2010,31,199,2930,98,3795,95136,508640,124480,24.47
27135,2010,6,78,1003,6,193,2653,15629,4624,29.58
27137,2010,18,270,5257,36,1663,33829,200226,54577,27.26
27153,2010,4,38,406,8,179,2968,24895,8516,34.21
27163,2010,11,226,4827,21,1506,39876,238136,94326,39.61
27171,2010,5,41,551,11,871,16832,124700,17188,13.78
28011,2010,12,65,1055,10,216,3752,34145,14127,41.37
28023,2010,7,64,1082,4,104,1739,16732,2306,13.78
